stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
400157,,BROADWAY - SPRING ST,,40.722843,-73.999069,,,0,
400159,,BROADWAY - GRAND ST,,40.720963,-74.000664,,,0,
400160,,BROADWAY - HOWARD ST,,40.719692,-74.001732,,,0,
400161,,BROADWAY - WALKER ST,,40.718758,-74.002541,,,0,
400162,,BROADWAY - WHITE ST,,40.717808,-74.003334,,,0,
400163,,BROADWAY - THOMAS ST,,40.715832,-74.00502,,,0,
400165,,BROADWAY - READE ST,,40.714825,-74.005875,,,0,
405219,,BROADWAY - WARREN ST,,40.713787,-74.006744,,,0,
400166,,BROADWAY - PARK PL,,40.712677,-74.007668,,,0,
400167,,BROADWAY - FULTON ST,,40.711006,-74.009087,,,0,
400168,,BROADWAY - CORTLANDT ST,,40.7099,-74.010002,,,0,
400988,,BROADWAY - THAMES ST,,40.708645,-74.011063,,,0,
400170,,BROADWAY - RECTOR ST,,40.707554,-74.011963,,,0,
400171,,BROADWAY - MORRIS ST,,40.705631,-74.013557,,,0,
403953,,STATE ST - BRIDGE ST,,40.703487,-74.014519,,,0,
903077,,WATER ST - WHITEHALL ST,,40.702526,-74.012466,,,0,
400902,,STATE ST - WHITEHALL ST,,40.702477,-74.0131,,,0,
400903,,STATE ST - BRIDGE ST,,40.704208,-74.014191,,,0,
400069,,GREENWICH ST - MORRIS ST,,40.706024,-74.014305,,,0,
400070,,TRINITY PL - RECTOR ST,,40.708008,-74.012711,,,0,
400071,,CHURCH ST - LIBERTY ST,,40.710014,-74.01136,,,0,
404108,,CHURCH ST - VESEY ST,,40.712128,-74.010048,,,0,
404107,,CHURCH ST - WARREN ST,,40.714146,-74.008423,,,0,
400911,,CHURCH ST - THOMAS ST,,40.71637,-74.006676,,,0,
400912,,CHURCH ST - LEONARD ST,,40.717567,-74.005768,,,0,
400913,,AV OF THE AMERICAS - WHITE ST,,40.719318,-74.005051,,,0,
403847,,AV OF THE AMERICAS - WEST BROADWAY,,40.720909,-74.005119,,,0,
400915,,AV OF THE AMERICAS - THOMPSON ST,,40.722301,-74.005249,,,0,
400916,,AV OF THE AMERICAS - BROOME ST,,40.724236,-74.004425,,,0,
400917,,AV OF THE AMERICAS - SPRING ST,,40.725624,-74.003876,,,0,
404132,,AV OF THE AMERICAS - PRINCE ST,,40.727024,-74.003349,,,0,
400919,,AV OF THE AMERICAS - W HOUSTON ST,,40.728699,-74.002541,,,0,
400722,,AV OF THE AMERICAS - W 3 ST,,40.730881,-74.001389,,,0,
400723,,AV OF THE AMERICAS - WAVERLY PL,,40.733006,-73.99984,,,0,
400724,,AV OF THE AMERICAS - W 10 ST,,40.734863,-73.998466,,,0,
400725,,AV OF THE AMERICAS - W 12 ST,,40.736156,-73.997536,,,0,
903017,,AV OF THE AMERICAS - W 14 ST,,40.737419,-73.996704,,,0,
404991,,AV OF THE AMERICAS - W 18 ST,,40.73959,-73.995071,,,0,
403914,,AV OF THE AMERICAS - W 20 ST,,40.741158,-73.993874,,,0,
400929,,AV OF THE AMERICAS - W 23 ST,,40.742973,-73.992554,,,0,
404880,,AV OF THE AMERICAS - W 27 ST,,40.745491,-73.990692,,,0,
400732,,AV OF THE AMERICAS - W 29 ST,,40.746536,-73.990013,,,0,
403769,,AV OF THE AMERICAS - W 31 ST,,40.747986,-73.988907,,,0,
903018,,AV OF THE AMERICAS - W 34 ST,,40.749859,-73.987503,,,0,
404039,,AV OF THE AMERICAS - W 38 ST,,40.752403,-73.98571,,,0,
404040,,AV OF THE AMERICAS - W 40 ST,,40.753708,-73.984734,,,0,
400936,,AV OF THE AMERICAS - W 42 ST,,40.755108,-73.983788,,,0,
404043,,AV OF THE AMERICAS - W 45 ST,,40.75703,-73.982376,,,0,
400938,,AV OF THE AMERICAS - W 47 ST,,40.758289,-73.981468,,,0,
403132,,AV OF THE AMERICAS - W 50 ST,,40.759773,-73.980385,,,0,
400940,,AV OF THE AMERICAS - W 51 ST,,40.76075,-73.979668,,,0,
400941,,AV OF THE AMERICAS - W 54 ST,,40.762619,-73.978302,,,0,
404992,,AV OF THE AMERICAS - W 57 ST,,40.7644,-73.976997,,,0,
400943,,CENTRAL PK S - 6 AV,,40.766129,-73.97702,,,0,
401014,,CENTRAL PK S - 7 AV,,40.7672,-73.979584,,,0,
401015,,CENTRAL PK S - COLUMBUS CI,,40.767838,-73.981239,,,0,
401016,,BROADWAY - W 61 ST,,40.769936,-73.981926,,,0,
400747,,BROADWAY - W 63 ST,,40.771858,-73.981987,,,0,
403271,,BROADWAY - W 66 ST,,40.774269,-73.982025,,,0,
400750,,BROADWAY - W 69 ST,,40.776684,-73.981926,,,0,
400751,,W 72 ST - BROADWAY,,40.779034,-73.982414,,,0,
400752,,W 72 ST - WEST END AV,,40.780125,-73.98497,,,0,
404289,,RIVERSIDE DR - W 74 ST,,40.78204,-73.984871,,,0,
400755,,RIVERSIDE DR - W 77 ST,,40.783989,-73.983566,,,0,
400756,,RIVERSIDE DR - W 79 ST,,40.785217,-73.982277,,,0,
404290,,RIVERSIDE DR - W 82 ST,,40.787205,-73.98111,,,0,
400759,,RIVERSIDE DR - W 85 ST,,40.789146,-73.980827,,,0,
400760,,RIVERSIDE DR - W 87 ST,,40.790504,-73.979851,,,0,
